# --------------------------------------------------------------------------------------------------------
# Contents:
# The soil profile id for each map id of the Dutch Soil Map.
#
# Source:
# Download the Dutch Soil Map at https://bodemdata.nl/files/download/Levering-BRO-SGM-V2025-01_1.zip.
# This file can is table "soilarea_normalsoilprofile" in the file "BRO-SGM-DownloadBodemkaart-V2025-01_1.gpkg".
# "V2025-1..soilarea.00000" was removed of each maparea_id to reduce storage size.
# Date downloaded: 2026-01-16
# --------------------------------------------------------------------------------------------------------
maparea_id,normalsoilprofile_id
05485,2110
09940,9024090
05713,90210030
05718,90310030
05886,15402
06268,90215430
07850,9028040
05862,90210030
05864,90210030
05744,90210030
06797,1100
06805,1100
06523,1281
06554,1281
06559,1281
06589,1281
06799,1100
06599,1080
06603,1320
06337,1281
06630,1320
06639,1281
07001,1100
07002,1100
07004,1100
06666,1100
07005,1100
06821,1100
07056,1100
07052,1100
06823,1100
06703,1100
06742,1100
06844,1100
06757,1100
07053,1100
12194,90215360
06777,1080
06865,1100
07096,1111
07119,1111
07162,8030
11509,3060
07219,15190
07343,8030
07463,9028040
07561,9018040
07645,9018040
08774,9024090
07739,9028040
07804,5040
07848,9028040
09323,9024090
08082,8050
08158,90115490
08153,90115490
08182,90215500
08253,15300
08331,5020
08346,5020
08556,5020
06912,1100
06908,1100
08610,5020
08732,16180
08666,9024090
08671,9024090
08762,16180
08822,9024090
08846,9024090
09011,9024090
06921,1100
06923,1100
06784,1100
09441,9024090
14282,90215490
09477,9014090
14283,90115490
09731,4100
09737,4100
09762,4100
09854,9024090
09872,9024090
09909,9024090
09926,9024090
09942,9024090
09981,9014090
10022,9024090
10045,9024090
10066,9024090
10309,9014120
10262,9014120
10894,9024120
10922,9024120
10943,9024120
10958,9024120
08979,9024090
08980,9024090
08984,4170
09033,9024090
09092,9024090
09104,9024090
09214,9024090
09397,9024090
09383,9024090
10451,9024120
10486,9024120
10534,9024120
10556,9024120
10612,4121
10677,4131
11105,4130
11125,4130
11219,4130
11229,9024090
11350,4130
11381,4130
10817,9014120
11990,15350
12041,15160
12076,15140
12097,13040
12180,90215360
12192,90115360
12203,13040
12226,15361
12271,15111
12329,10090
12349,90216050
12406,90216090
12482,8120
12477,8120
12601,8010
12656,8020
08485,15260
12692,1110
11489,1300
11558,2080
11565,2081
11585,2081
11590,2090
12693,1110
12739,10090
12747,1110
11613,2090
12760,1111
11615,2090
06977,1100
11620,2090
11674,2090
11678,2090
12777,1111
12921,1110
12890,1110
12922,1110
12808,1110
12848,1070
12892,1110
12893,1110
12902,2160
12854,1110
12861,1070
12911,2160
13585,3070
13424,2150
12944,1110
12950,10090
12953,10090
13013,10070
13014,10070
13051,17040
13081,10070
13574,10071
13623,1310
13135,10070
13984,9014080
13124,10220
13155,16021
13166,10070
13186,1180
13243,10070
13207,10070
13633,9014020
13652,10211
13662,10211
13726,10210
13733,4160
13763,4160
13766,4160
13278,10071
13874,4160
13776,4160
13789,4160
13431,2150
13834,2120
13843,2120
13911,4170
14003,15450
14164,90215500
14185,90115500
13279,10072
14267,90215500
14272,90115490
14269,90115490
14295,90215500
18603,9024010
14368,15451
14373,15450
14383,90215490
14420,15510
14445,15450
14795,15510
18605,9024010
18606,9024010
14543,15452
14613,15460
14626,15460
14692,15460
14696,15460
14740,15510
14744,15510
14758,15510
14784,15460
14804,15510
14832,3030
14870,15470
13280,10072
13266,10070
14885,3030
14936,3030
14982,3030
14978,3030
14984,3030
15013,3030
13270,10070
13575,10071
13317,2151
13580,3070
13340,2151
15194,3030
15039,3030
15042,3030
15052,3030
15065,3030
15084,3030
15114,3030
15184,10170
15662,4140
15671,4140
15664,4140
15686,4140
15698,4140
15720,4140
15715,4140
15897,4140
15916,4140
15976,4140
13449,2150
13452,2150
13459,10110
13472,2150
13502,2150
16592,9024010
16029,4140
15247,3011
15255,15510
15269,4140
15374,8110
15404,4140
15411,4140
15436,4140
15440,4140
15473,4140
15487,4140
15594,4140
15612,4140
16146,9024010
16349,1050
16473,9014010
16917,9014010
16932,9024010
16983,9024010
13504,2150
16496,9014010
13505,2150
16502,9024010
16515,9014010
16522,9014010
16534,9034010
16573,9024010
16565,9024010
16829,9024010
16688,9014010
16844,9014010
16939,9024010
16864,9024010
16886,9024010
17262,9014010
17271,9014010
17285,9014010
17308,9024010
17320,9024010
17328,9024010
17358,9034010
17367,9014010
17404,9024010
17410,9034010
17786,9024010
16940,9024010
13519,2150
13521,2150
16942,9024010
17625,9024010
17946,9014010
17997,9014010
16943,9024010
16956,9024010
17576,9024010
18026,9024010
17592,9024010
17668,9024010
17615,9034010
17774,9024010
17766,9024010
17867,9034010
16966,9024010
18065,9024010
16972,9024010
16969,9024010
17039,9024010
17058,9034010
17081,9014010
17890,9024010
17100,9014010
17102,9014010
17104,9014010
18253,9034010
18239,9014010
18357,9024010
17122,9014010
18373,9024010
18052,9024010
18568,9014010
17123,9014010
17148,9014010
18054,9024010
18057,9024010
17181,9014010
18491,9024010
18069,9024010
18074,9024010
18312,9014010
18493,9014010
17182,9014010
17171,9024010
17192,9014010
17205,9014010
18499,9034010
18508,9024010
18516,9024010
18677,9034010
17211,9014010
17212,9024010
17225,9024010
17236,9014010
18080,9014010
18115,9024010
18900,9014010
18097,9024010
18098,9024010
18898,9014010
18953,9024010
18961,9014010
19037,9024010
19016,9024010
19122,9024010
19197,9024010
19211,9034010
18178,9014010
19215,9024010
19270,9024010
19284,9024010
19300,9024010
18204,9024010
19880,4030
19358,9024010
18211,9024010
19361,9024010
19660,9024010
19691,9014020
19719,4030
19715,4030
19902,4031
19768,4031
19815,4030
19364,9024010
19894,4030
19387,9014010
19475,9014020
19406,9014020
18578,9014010
19421,9024010
19430,9024010
19499,9034010
19967,4030
20344,9014050
20336,4030
19518,9034010
19558,9014020
19574,9014020
19583,9024020
20024,4030
20025,4030
20100,4030
20436,9014050
20569,9014050
20194,4030
20308,4030
20225,4030
20247,4030
20261,9034050
20509,9024050
20603,9024050
20271,9014050
20297,4030
21831,4070
20686,9024050
20710,9014050
20714,9014050
20607,9024050
20724,9024050
20734,9024050
20764,9024050
20774,9024050
20839,9024050
20633,9014050
20874,9034050
20877,9024050
20631,9014050
20927,9024050
20921,9024050
21170,9024050
21163,9024050
21137,9014050
21414,4070
21431,4071
21440,4071
21474,4071
21523,9024050
21198,9024050
21217,9014050
21619,9024050
21229,9024050
21657,4071
21718,4070
21742,4070
21777,4070
21807,4070
21235,9014050
21856,4070
21858,4070
21861,4070
21257,9014050
21241,9024050
21255,9024050
21266,9024050
21898,4070
21269,9024050
21893,4070
18579,9014010
18591,9024010
18598,9024010
18620,9024010
18615,9024010
21280,9014050
18644,9024010
21908,4070
18646,9024010
18704,9014010
21913,4070
21290,9024050
21310,9024050
23556,1340
21970,4070
18744,9024010
18746,9024010
18759,9014010
21972,4070
21973,4070
18763,9024010
22017,4070
22018,4070
18822,9014010
18785,9034010
18800,9014010
22028,4070
22254,4070
22077,1010
22074,1010
18827,9014010
18855,9014010
18869,9014010
19036,9024010
22108,4070
22130,4070
22132,4070
21337,9034050
22386,4070
22211,4070
22333,4070
22360,4070
22637,1030
21372,4070
21539,9024050
22709,1040
22698,1030
22702,1030
22424,1040
22733,1070
22734,1070
21540,9024050
22459,1070
22460,1070
22437,1040
22446,1050
22449,1050
22742,1071
22758,1072
21549,9034050
21416,4070
21421,9024050
22760,1070
22769,1070
22450,1050
22777,1072
22785,1070
22452,1050
22786,1070
22802,1070
22456,1050
22478,1050
22489,1050
22804,1070
22806,1070
22521,1060
22549,1050
22813,1070
22624,1030
22600,1030
22875,1070
22900,1070
22901,1070
22914,1070
22903,1070
22916,1070
22918,1070
22814,1070
22922,1070
22815,1070
22818,1070
22926,1070
23044,1071
22939,1070
22819,1070
22823,1070
22825,1070
22982,1070
23033,1070
22839,1070
22843,1070
23037,1071
23103,1340
23040,1071
23061,1350
23509,2060
23521,2060
23333,1350
23360,2060
23545,2060
23131,1350
23371,2060
23372,2060
23405,2060
23573,2060
23482,1340
23484,1340
23204,1350
23502,1340
23503,1340
23606,1340
23758,2060
23614,1340
23639,2060
23767,2060
23504,1340
23645,1340
23516,2060
23920,2060
23927,2060
23934,2060
23668,1340
23937,2060
23772,2060
23947,2060
23948,2060
23667,1340
23686,2060
23704,2060
23781,2060
41602,1281
23951,2060
23975,2060
23957,2060
24110,2060
24122,2060
25545,17060
24136,2060
24146,2060
23965,2060
23774,2060
23792,2060
23967,2060
24411,2160
23968,2060
23977,2060
25150,15530
24473,2160
24608,4040
24745,4041
23798,2060
24186,2060
24206,2060
23991,2060
23992,2060
24299,2160
24211,2060
24037,2070
24060,2060
23823,2060
24528,2160
23824,2060
24231,2060
24232,2060
24233,2060
25230,10020
24282,2070
24071,2060
24285,2070
24294,2160
26525,1230
30178,15280
24301,2160
23909,2060
24086,2060
24090,2060
24296,2160
24088,2060
24094,2060
24310,2160
23871,2060
24098,2060
24494,2160
24314,2160
24527,2160
24317,2160
24327,2160
24328,2160
24531,2160
24532,2160
23873,2060
24533,2160
24538,2160
32175,15140
23859,2060
24556,2160
24557,2160
24565,2160
24567,2160
23860,2060
23864,2060
24580,2160
24587,2160
24597,2160
23877,2060
24640,15540
24651,2160
24695,4040
24711,2160
24329,2160
24340,2160
24342,2160
24715,2160
23875,2060
24763,4040
24818,4040
24900,4040
24917,4040
24909,4040
24954,4040
24336,2070
24972,4040
25002,15541
23896,2060
24351,2070
23900,2060
24353,2070
24358,2070
24368,2160
24369,2160
25053,10080
25154,15530
24376,2070
23901,2060
24373,2070
24374,2070
25233,10020
25297,10080
25312,15520
25375,17060
25825,17030
25883,1220
25478,10080
25565,17060
25626,17070
25641,17070
25650,17071
25654,17071
25737,17010
25755,17060
25817,17020
25823,17030
25828,17030
26200,1210
24393,2160
26209,1230
26203,1210
26204,1210
26240,1230
26254,1240
26261,1230
25938,17030
26266,1230
26279,1210
24409,2160
26289,1230
26290,1230
26293,1220
25981,1220
26312,1230
26321,1200
26332,1230
26333,1230
24437,2160
24634,15540
26039,12020
28238,90115240
26076,1220
24435,2160
24454,2160
24455,2160
26144,1220
24467,2160
26437,1200
32462,15170
26187,17030
32463,15170
26441,1200
26669,2010
26442,1200
26449,1230
26335,1230
26338,1230
26451,1230
26459,1200
28098,15180
26479,1230
27140,22010
26339,1230
26358,1230
26499,1230
26395,1230
26410,1200
26670,2010
26686,2010
26690,2010
26415,1200
26420,1230
26428,1230
26860,1230
26938,11030
26957,11030
26997,10190
27066,22010
27075,22010
27095,22010
29775,90115270
27207,10190
27229,22010
27237,10191
27316,11030
27410,18050
27480,11032
34107,90215060
27644,18050
26533,1230
27651,18041
28248,90215240
27842,15180
27986,15180
28005,17070
28103,15180
28148,15190
28143,15180
28164,90215240
28183,90215240
28202,90215240
28217,90115240
28260,90115240
28253,90115240
28281,90215240
28328,90115240
28372,90115240
28388,90215240
28489,90215240
26842,2110
26545,2010
26530,1230
26539,2010
27080,10190
26583,2010
26591,2110
28534,90115240
28608,90215410
28667,90215240
28688,90115240
28696,90115240
28701,90215240
28762,15241
28806,15250
28818,15250
28849,90215240
26626,2010
26629,2010
26645,2010
26723,2110
26736,2010
29159,15200
29277,15200
29284,90115270
29313,90115270
29365,15200
29437,90215270
32271,15171
28854,90215240
29479,90115270
29502,90115270
29579,90215270
29598,90215270
29626,90215270
29636,90215270
29681,90215270
29713,90115270
28855,90215240
28875,90115240
28882,15251
28891,90215240
29771,90115270
29866,90215270
29931,90115270
29976,90215430
29972,90215430
30040,90115270
30035,90115270
30049,90215270
30085,90115270
30191,90215270
30213,15290
30233,15290
30251,90215270
30256,15290
30351,90115430
30413,90115320
30419,90115320
30426,90215430
30435,90215320
33162,15120
33748,90115060
30626,90215320
30646,90115320
30651,90215320
30681,90215320
30684,90115320
30761,90215320
30717,90215320
30755,90115320
28934,90115240
28936,90215410
28941,90115410
29041,90115270
29048,90115270
29064,90115270
29152,15200
31333,90215360
31463,15290
31482,90115360
30905,90215320
30943,90215320
30991,90215320
31034,90215320
31048,90215320
31135,15340
31146,90115320
31205,15220
31232,90215360
31258,90115360
31279,90115360
26730,2110
26766,2110
26770,2110
31285,90215360
34173,15040
32292,15160
32304,13040
32326,13040
32453,13040
32478,15170
32487,13040
32566,13020
32654,15130
32664,15130
32693,15130
33599,15080
32776,15130
32849,15130
32871,15130
32908,13010
32913,13020
32955,15100
32991,15100
33006,15100
33047,90210280
33092,15120
33096,15120
33159,15120
33202,90211040
33216,15110
33211,15110
33238,15110
33247,1020
33273,1050
31539,90215360
31600,15220
31703,15230
31897,15400
31957,15440
32010,15220
32038,15170
33382,15041
26776,2110
33400,15080
33564,15080
33588,90215050
33621,15080
33629,90215050
33659,15080
32668,15130
26781,2010
33708,90215060
33735,15090
33730,90115060
33737,15090
33766,90215060
33806,15090
33844,15070
33847,15070
33856,15070
33869,15070
32045,13040
32097,15140
32111,15140
32134,15140
32151,15170
32168,90115270
32265,15171
34209,15090
34233,15090
34304,15040
34375,16020
34368,1150
34499,16030
34410,1150
34501,16030
34502,16030
34427,1170
34429,1170
34438,16020
34496,16030
34530,16010
34538,1170
34544,16010
34587,1130
33928,15090
33901,15090
33944,15070
34019,15020
33949,15090
33969,15090
26782,2010
33988,15080
34621,1130
34599,16040
34603,1240
34612,1130
34641,1170
34619,1130
34657,1170
34690,1150
34734,1150
33996,15070
33997,15040
34012,15010
34735,1150
34739,1150
34758,10016
34759,1180
34789,10010
34796,1180
34810,10010
34813,10010
34849,10010
34873,10010
35000,10010
34885,1180
34898,10010
34915,10010
34040,15020
34068,15040
34078,15020
34095,15090
34102,15040
34125,15090
34118,15090
34133,90215060
34135,15040
34188,15041
34928,1180
34945,1180
26794,2110
34948,1180
34974,1180
34980,10010
34990,1180
35034,90110030
35397,90110030
35409,90210030
35433,90210030
35056,90210030
35062,10016
35079,90210030
36900,10111
35452,90210030
35472,90210030
35509,90210030
35547,90210030
35149,90210030
35092,10012
35136,10013
35147,90210030
35156,90110030
35168,10014
35177,90110030
35185,90210030
35199,90210030
35207,90210030
35211,90210030
35217,90210030
35248,90210030
35552,90210030
35565,90210030
35571,90210030
35585,90110030
35592,90310030
35610,90110030
35262,90210030
35263,90210030
35277,90210030
35299,90110030
35308,90210030
35314,90110030
35326,90210030
26801,2010
35333,90210030
35339,90110030
35344,90210030
35352,90110030
35627,90210030
35615,90210030
35689,90210030
35616,90210030
35708,90210030
35716,90210030
35738,90110030
26913,22010
26813,2110
35750,90210030
35751,90210030
35755,90210030
35635,90210030
35638,90210030
35756,90210030
35793,90210030
35639,90210030
35648,90210030
35670,90210030
35954,90210030
35962,90210030
35902,90210030
35918,90210030
35923,90210030
35935,90210030
35987,90210030
36265,10040
36272,10040
41733,1320
26824,2110
36317,10061
36555,10110
36349,10060
36002,90210030
